Month,Incident Number,Date of Incident,Day of Week,Number of Victims under 18,Number of Victims over 18,Number of Offenders under 18,Number of Offenders over 18,Race/Ethnicity of Offenders,Offense(s),Offense Location,Bias,Zip Code,APD Sector,Council District
Jul,2017-606292,05/22/2017 12:00:00 AM,Sun,2,0,1,0,Black or African American/Not Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78704,Ida,6
Sep,2017-608868,03/16/2017 12:00:00 AM,Wed,2,0,0,0,Unknown,Theft,Home/Residence,Anti-White,78702,Edward,4
Jul,2017-664321,04-02-2017 00:00,Sat,1,3,2,1,Unknown,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78757,David,5
Jul,2017-185605,07/16/2017 12:00:00 AM,Sat,0,1,2,1,White/Not Hispanic,Theft,School/College,Anti-Jewish,78757,Edward,8
Mar,2017-700395,11-05-2017 00:00,Sat,2,3,1,2,Black or African American/Not Hispanic,Burglary,School/College,Anti-Black or African American,78757,Ida,10
Nov,2017-409053,10-04-2017 00:00,Tue,1,1,0,2,Asian,Robbery,Store/Shop,Anti-Black or African American,78757,David,6
May,2017-208469,10/29/2017 12:00:00 AM,Sat,2,3,2,3,Hispanic,Destruction,Home/Residence,Anti-Asian,78705,Edward,10
May,2017-984987,08/21/2017 12:00:00 AM,Sun,1,1,2,2,Other,Destruction,School/College,Anti-Hispanic,78701,Ida,2
Jun,2017-535981,07/16/2017 12:00:00 AM,Sat,2,1,0,2,Black or African American/Not Hispanic,Robbery,School/College,Anti-Black or African American,78702,Edward,10
Jul,2017-545454,04/15/2017 12:00:00 AM,Fri,1,1,1,2,White/Not Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78701,David,6
May,2017-299357,06/19/2017 12:00:00 AM,Sun,1,2,1,0,Unknown,Theft,Other,Anti-White,78705,Ida,9
Feb,2017-742011,12/22/2017 12:00:00 AM,Thu,2,3,1,1,Black or African American/Not Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78705,Charlie,9
Aug,2017-576471,01/15/2017 12:00:00 AM,Sat,2,0,0,2,Asian,Aggravated Assault,Park/Playground,Anti-Jewish,78704,Ida,9
Jun,2017-994266,03/13/2017 12:00:00 AM,Sun,2,3,0,0,Black or African American/Not Hispanic,Aggravated Assault,School/College,Anti-Hispanic,78702,Ida,3
Jan,2017-787554,07-12-2017 00:00,Tue,0,2,0,2,White/Not Hispanic,Robbery,Home/Residence,Anti-Other,78705,David,8
May,2017-313511,01-08-2017 00:00,Sat,2,2,1,3,White/Not Hispanic,Aggravated Assault,School/College,Anti-Other,78705,Edward,7
Feb,2017-753272,06/15/2017 12:00:00 AM,Wed,2,1,0,0,Unknown,Aggravated Assault,Home/Residence,Anti-Asian,78705,Henry,3
Dec,2017-149570,06-08-2017 00:00,Wed,0,2,1,2,Hispanic,Destruction,Home/Residence,Anti-White,78757,David,9
Oct,2017-744527,04-04-2017 00:00,Mon,1,3,0,2,Asian,Burglary,Park/Playground,Anti-Asian,78702,Edward,3
Dec,2017-259327,05/25/2017 12:00:00 AM,Wed,1,0,1,2,White/Not Hispanic,Destruction,Other,Anti-White,78701,Henry,9
Mar,2017-641251,12/13/2017 12:00:00 AM,Tue,1,1,0,0,Other,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78704,Ida,7
Dec,2017-475561,12/13/2017 12:00:00 AM,Tue,0,2,1,1,Other,Burglary,School/College,Anti-Hispanic,78704,Edward,8
Oct,2017-333529,05/20/2017 12:00:00 AM,Fri,2,3,2,1,Hispanic,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78701,Edward,7
Nov,2017-187210,05/25/2017 12:00:00 AM,Wed,0,0,0,1,White/Not Hispanic,Theft,Other,Anti-White,78701,Charlie,2
Jun,2017-255379,05/28/2017 12:00:00 AM,Sat,2,2,1,0,Other,Burglary,School/College,Anti-Asian,78704,Edward,8
Jul,2017-194353,08/26/2017 12:00:00 AM,Fri,0,3,2,2,Black or African American/Not Hispanic,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78701,Ida,4
Apr,2017-911483,02/22/2017 12:00:00 AM,Tue,2,1,1,1,Asian,Robbery,Home/Residence,Anti-Asian,78704,Ida,8
Jan,2017-257043,02-11-2017 00:00,Fri,2,1,1,1,Asian,Burglary,School/College,Anti-Black or African American,78701,Ida,8
Nov,2017-312873,07-07-2017 00:00,Thu,1,0,1,3,Unknown,Burglary,Park/Playground,Anti-Other,78704,Ida,6
Jan,2017-374898,02/25/2017 12:00:00 AM,Fri,1,0,0,2,Black or African American/Not Hispanic,Burglary,Other,Anti-Other,78704,Henry,6
Dec,2017-836116,04/14/2017 12:00:00 AM,Thu,0,1,1,2,Unknown,Vandalism,Store/Shop,Anti-Hispanic,78702,Charlie,4
Dec,2017-367993,02-11-2017 00:00,Fri,1,1,2,0,White/Not Hispanic,Robbery,Store/Shop,Anti-White,78704,Edward,10
Oct,2017-925559,10/28/2017 12:00:00 AM,Fri,1,3,2,3,Unknown,Aggravated Assault,Home/Residence,Anti-Black or African American,78702,Charlie,5
Nov,2017-320510,11-01-2017 00:00,Tue,2,1,0,0,White/Not Hispanic,Robbery,Other,Anti-Asian,78702,Henry,2
Jul,2017-536488,02/16/2017 12:00:00 AM,Wed,0,1,2,3,Unknown,Vandalism,Other,Anti-Other,78702,David,2
May,2017-199178,06-01-2017 00:00,Wed,0,0,1,2,Other,Destruction,Park/Playground,Anti-Other,78757,Charlie,7
Mar,2017-491550,05-12-2017 00:00,Thu,1,2,1,2,Black or African American/Not Hispanic,Theft,Park/Playground,Anti-Hispanic,78704,Ida,10
Jul,2017-639437,05-03-2017 00:00,Tue,0,0,1,3,White/Not Hispanic,Robbery,Other,Anti-Jewish,78757,Charlie,4
Jan,2017-357736,09-11-2017 00:00,Sun,0,2,1,1,Black or African American/Not Hispanic,Burglary,Park/Playground,Anti-Asian,78705,Ida,4
Apr,2017-898750,07-08-2017 00:00,Fri,2,0,0,1,Other,Destruction,Store/Shop,Anti-Hispanic,78701,Henry,7
Aug,2017-411346,12/30/2017 12:00:00 AM,Fri,1,2,1,2,Other,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78701,Edward,2
Nov,2017-174720,03/25/2017 12:00:00 AM,Fri,1,3,0,3,Unknown,Burglary,Home/Residence,Anti-White,78701,Edward,9
Feb,2017-189480,01/18/2017 12:00:00 AM,Tue,1,1,2,3,White/Not Hispanic,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78757,Ida,2
Aug,2017-865241,04/25/2017 12:00:00 AM,Mon,2,2,2,3,Asian,Destruction,Park/Playground,Anti-White,78704,Charlie,2
Jun,2017-236066,03-08-2017 00:00,Tue,0,0,1,2,Asian,Destruction,Store/Shop,Anti-Other,78701,Charlie,9
Dec,2017-308372,09/21/2017 12:00:00 AM,Wed,0,1,1,2,White/Not Hispanic,Burglary,School/College,Anti-Hispanic,78757,Charlie,6
Feb,2017-924812,04-11-2017 00:00,Mon,1,2,1,2,Black or African American/Not Hispanic,Destruction,Store/Shop,Anti-Asian,78704,Henry,10
Feb,2017-698124,04-10-2017 00:00,Sun,2,0,0,2,White/Not Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-White,78702,Edward,5
Jul,2017-517594,01-05-2017 00:00,Wed,2,2,0,1,Black or African American/Not Hispanic,Vandalism,Store/Shop,Anti-Jewish,78757,David,4
Sep,2017-901878,01/27/2017 12:00:00 AM,Thu,0,2,2,3,Asian,Aggravated Assault,Store/Shop,Anti-Black or African American,78757,David,2
Feb,2017-192841,10-12-2017 00:00,Wed,1,3,2,0,Other,Burglary,Park/Playground,Anti-White,78705,Ida,5
Jun,2017-107506,04/25/2017 12:00:00 AM,Mon,1,2,1,2,Unknown,Burglary,School/College,Anti-Hispanic,78704,Edward,3
May,2017-173983,08/21/2017 12:00:00 AM,Sun,0,2,1,1,Asian,Aggravated Assault,Store/Shop,Anti-Hispanic,78702,Edward,9
Jun,2017-638789,08/31/2017 12:00:00 AM,Wed,2,0,2,0,Black or African American/Not Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78704,David,5
Jun,2017-954877,08/31/2017 12:00:00 AM,Wed,2,3,2,0,White/Not Hispanic,Aggravated Assault,School/College,Anti-Hispanic,78705,Ida,9
Dec,2017-982548,10/17/2017 12:00:00 AM,Mon,2,3,1,1,Asian,Burglary,School/College,Anti-White,78705,Ida,3
Sep,2017-281343,12-01-2017 00:00,Thu,0,3,2,0,Hispanic,Aggravated Assault,Home/Residence,Anti-Jewish,78705,Charlie,4
Oct,2017-313865,02/22/2017 12:00:00 AM,Tue,0,1,0,3,Other,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78702,Edward,10
Nov,2017-866597,05/20/2017 12:00:00 AM,Fri,1,1,1,2,Unknown,Vandalism,Park/Playground,Anti-Black or African American,78705,Edward,2
Nov,2017-811247,12-01-2017 00:00,Thu,1,0,2,3,White/Not Hispanic,Destruction,Home/Residence,Anti-Asian,78757,Ida,9
Sep,2017-364552,11-08-2017 00:00,Tue,1,2,2,1,Asian,Theft,Park/Playground,Anti-Asian,78705,Henry,4
Dec,2017-555131,12-08-2017 00:00,Thu,1,2,0,0,White/Not Hispanic,Theft,Store/Shop,Anti-Asian,78702,Henry,10
Sep,2017-732876,02/14/2017 12:00:00 AM,Mon,0,1,1,2,Black or African American/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Hispanic,78701,Ida,1
Apr,2017-222692,12/23/2017 12:00:00 AM,Fri,0,2,0,1,Other,Burglary,School/College,Anti-Black or African American,78705,Henry,1
Feb,2017-338966,02/18/2017 12:00:00 AM,Fri,0,1,1,0,Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78704,Henry,8
Feb,2017-436419,09/13/2017 12:00:00 AM,Tue,2,1,1,1,Unknown,Aggravated Assault,Store/Shop,Anti-Other,78702,Edward,6
Mar,2017-536321,06/13/2017 12:00:00 AM,Mon,1,0,0,3,Asian,Theft,Home/Residence,Anti-Asian,78757,Ida,3
Jun,2017-839415,02-03-2017 00:00,Thu,1,1,1,3,Black or African American/Not Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-White,78704,Edward,10
Aug,2017-802501,09-05-2017 00:00,Mon,2,1,0,0,Unknown,Robbery,Park/Playground,Anti-Jewish,78705,Henry,1
Mar,2017-813076,07/30/2017 12:00:00 AM,Sat,0,1,1,0,Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-White,78704,Edward,9
Oct,2017-376575,12/16/2017 12:00:00 AM,Fri,0,3,1,2,Other,Aggravated Assault,Other,Anti-Black or African American,78704,Charlie,5
Nov,2017-200171,07-02-2017 00:00,Sat,1,0,1,2,Other,Robbery,Store/Shop,Anti-White,78704,Edward,9
Mar,2017-461435,08-07-2017 00:00,Sun,2,0,2,0,Black or African American/Not Hispanic,Robbery,School/College,Anti-Hispanic,78705,Ida,9
Dec,2017-814998,12-04-2017 00:00,Sun,0,0,1,0,White/Not Hispanic,Burglary,Home/Residence,Anti-Hispanic,78702,Charlie,9
Aug,2017-554611,01/31/2017 12:00:00 AM,Mon,1,3,1,3,Unknown,Robbery,Store/Shop,Anti-Hispanic,78757,Edward,6
Apr,2017-706557,03/14/2017 12:00:00 AM,Mon,2,0,0,3,Unknown,Robbery,Store/Shop,Anti-White,78702,Charlie,10
Nov,2017-636077,11/14/2017 12:00:00 AM,Mon,2,1,1,2,Asian,Aggravated Assault,School/College,Anti-Asian,78702,Edward,1
Sep,2017-423093,03-01-2017 00:00,Tue,2,2,2,1,Other,Robbery,School/College,Anti-Other,78705,Henry,9
Nov,2017-936508,10-06-2017 00:00,Thu,2,1,1,3,Black or African American/Not Hispanic,Burglary,Home/Residence,Anti-Asian,78705,Henry,10
May,2017-738623,11/27/2017 12:00:00 AM,Sun,2,0,2,3,Other,Aggravated Assault,Home/Residence,Anti-Other,78701,Edward,2
Jan,2017-605686,01/13/2017 12:00:00 AM,Thu,1,0,2,2,Hispanic,Burglary,Home/Residence,Anti-White,78701,Ida,1
Jun,2017-303498,01/26/2017 12:00:00 AM,Wed,1,3,2,3,Other,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78757,Ida,5
Sep,2017-573181,12-05-2017 00:00,Mon,1,1,0,2,Other,Aggravated Assault,Home/Residence,Anti-Jewish,78702,Charlie,7
Jun,2017-443016,06-06-2017 00:00,Mon,0,2,0,1,White/Not Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78705,David,5
Jan,2017-520757,10/29/2017 12:00:00 AM,Sat,1,0,2,1,Hispanic,Burglary,Other,Anti-Other,78701,Charlie,5
Mar,2017-904502,07/14/2017 12:00:00 AM,Thu,0,3,0,0,Asian,Theft,School/College,Anti-Asian,78704,Henry,4
Aug,2017-624804,04/30/2017 12:00:00 AM,Sat,2,1,1,0,Asian,Aggravated Assault,Park/Playground,Anti-Black or African American,78702,Ida,6
Jun,2017-410458,10-07-2017 00:00,Fri,0,1,2,2,Black or African American/Not Hispanic,Destruction,Park/Playground,Anti-Asian,78757,Ida,3
Aug,2017-876301,05-05-2017 00:00,Thu,0,1,2,1,Hispanic,Burglary,School/College,Anti-White,78702,David,5
Dec,2017-519703,03/26/2017 12:00:00 AM,Sat,0,1,0,2,Unknown,Destruction,Store/Shop,Anti-Jewish,78702,David,9
Feb,2017-282306,09-03-2017 00:00,Sat,2,1,1,3,Other,Burglary,Park/Playground,Anti-Hispanic,78705,David,5
Dec,2017-971614,09/17/2017 12:00:00 AM,Sat,1,1,2,0,White/Not Hispanic,Theft,School/College,Anti-Other,78701,David,9
Oct,2017-600453,09/23/2017 12:00:00 AM,Fri,0,0,2,1,Hispanic,Vandalism,Park/Playground,Anti-Other,78702,Edward,6
May,2017-201795,02/18/2017 12:00:00 AM,Fri,2,0,1,1,Unknown,Destruction,School/College,Anti-Black or African American,78702,Charlie,3
May,2017-490305,01-10-2017 00:00,Mon,2,2,0,2,Other,Burglary,Park/Playground,Anti-Asian,78704,Edward,4
Jun,2017-336184,08/28/2017 12:00:00 AM,Sun,2,3,0,3,Other,Destruction,Store/Shop,Anti-White,78757,Ida,7
Jun,2017-382654,12-05-2017 00:00,Mon,1,2,0,0,Hispanic,Burglary,Other,Anti-Hispanic,78701,Henry,2
Sep,2017-367105,10/13/2017 12:00:00 AM,Thu,2,3,1,2,Unknown,Destruction,School/College,Anti-Hispanic,78704,Charlie,2
May,2017-257730,07/25/2017 12:00:00 AM,Mon,1,0,0,2,Other,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78702,Edward,7
Feb,2017-347937,11/19/2017 12:00:00 AM,Sat,0,2,0,2,Unknown,Vandalism,Park/Playground,Anti-Jewish,78701,Henry,7
Oct,2017-291596,01-08-2017 00:00,Sat,2,1,1,0,Hispanic,Destruction,Home/Residence,Anti-White,78705,Ida,2
Mar,2017-931544,03-02-2017 00:00,Wed,1,0,1,3,Asian,Theft,School/College,Anti-Jewish,78701,Charlie,4
Jun,2017-347182,06-08-2017 00:00,Wed,1,3,1,3,Unknown,Vandalism,Other,Anti-Other,78702,Edward,5
Aug,2017-481706,01/14/2017 12:00:00 AM,Fri,2,3,1,3,Asian,Vandalism,Store/Shop,Anti-Asian,78701,Charlie,3
Aug,2017-626228,12/13/2017 12:00:00 AM,Tue,0,2,2,1,Asian,Aggravated Assault,Other,Anti-Black or African American,78704,Edward,9
Mar,2017-564708,11/24/2017 12:00:00 AM,Thu,0,1,0,3,Other,Robbery,Other,Anti-Jewish,78757,Charlie,9
Mar,2017-457703,03-11-2017 00:00,Fri,0,3,2,1,Asian,Burglary,Store/Shop,Anti-Black or African American,78705,Henry,6
Mar,2017-519403,10/21/2017 12:00:00 AM,Fri,1,1,2,1,Other,Burglary,Other,Anti-Hispanic,78701,Ida,1
Oct,2017-703409,12/29/2017 12:00:00 AM,Thu,1,0,2,1,White/Not Hispanic,Aggravated Assault,Home/Residence,Anti-Hispanic,78701,Henry,8
Feb,2017-820615,08/15/2017 12:00:00 AM,Mon,1,0,0,2,White/Not Hispanic,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-White,78702,David,3
May,2017-725731,08-06-2017 00:00,Sat,0,1,1,2,Asian,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78702,Edward,6
May,2017-975724,04-11-2017 00:00,Mon,0,1,2,3,Hispanic,Vandalism,Other,Anti-Jewish,78757,Ida,10
Aug,2017-641025,07-04-2017 00:00,Mon,1,3,1,2,Hispanic,Aggravated Assault,Store/Shop,Anti-White,78704,David,6
Jun,2017-361068,06/25/2017 12:00:00 AM,Sat,1,2,2,2,White/Not Hispanic,Destruction,School/College,Anti-Black or African American,78702,David,8
Mar,2017-229043,10-08-2017 00:00,Sat,2,1,0,1,Other,Aggravated Assault,Other,Anti-Jewish,78702,Ida,7
Mar,2017-698898,10-02-2017 00:00,Sun,2,2,2,1,White/Not Hispanic,Theft,Store/Shop,Anti-Hispanic,78701,Henry,10
Aug,2017-191400,03/15/2017 12:00:00 AM,Tue,2,3,0,3,Other,Vandalism,Store/Shop,Anti-Jewish,78701,Ida,4
May,2017-776087,10/13/2017 12:00:00 AM,Thu,2,3,1,2,Asian,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-White,78757,David,10
Jan,2017-692140,10/25/2017 12:00:00 AM,Tue,2,2,1,2,White/Not Hispanic,Burglary,Store/Shop,Anti-Hispanic,78705,Charlie,6
Feb,2017-750960,03/14/2017 12:00:00 AM,Mon,2,2,0,1,Other,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78701,David,1
Apr,2017-250385,03/17/2017 12:00:00 AM,Thu,2,0,0,0,Asian,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78705,David,1
Feb,2017-804518,08/22/2017 12:00:00 AM,Mon,2,1,2,1,Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78704,Ida,4
Feb,2017-515092,04-12-2017 00:00,Tue,1,3,1,0,Asian,Robbery,School/College,Anti-Asian,78701,Charlie,1
Oct,2017-400575,12/26/2017 12:00:00 AM,Mon,0,3,1,1,Unknown,Theft,Store/Shop,Anti-Black or African American,78702,David,5
Mar,2017-324744,06/23/2017 12:00:00 AM,Thu,1,3,2,0,White/Not Hispanic,Robbery,Store/Shop,Anti-Asian,78701,Ida,4
Nov,2017-292272,07/18/2017 12:00:00 AM,Mon,2,1,0,3,Hispanic,Robbery,Other,Anti-White,78704,David,2
Sep,2017-302662,11-07-2017 00:00,Mon,0,2,0,0,Black or African American/Not Hispanic,Theft,Other,Anti-White,78705,David,10
Apr,2017-634665,06/29/2017 12:00:00 AM,Wed,2,1,1,0,Hispanic,Aggravated Assault,Store/Shop,Anti-Jewish,78705,Ida,6
Aug,2017-948279,12/19/2017 12:00:00 AM,Mon,0,0,1,0,Hispanic,Vandalism,Store/Shop,Anti-White,78704,Edward,1
Feb,2017-760673,06/25/2017 12:00:00 AM,Sat,1,2,1,0,Unknown,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78705,Henry,8
Sep,2017-371704,10-01-2017 00:00,Sat,1,2,1,3,Black or African American/Not Hispanic,Robbery,Store/Shop,Anti-Hispanic,78701,Ida,1
Aug,2017-484121,09-10-2017 00:00,Sat,1,2,1,2,Other,Vandalism,Other,Anti-Other,78701,Ida,8
Jul,2017-114954,03/24/2017 12:00:00 AM,Thu,1,2,2,1,Unknown,Aggravated Assault,School/College,Anti-Other,78705,Henry,2
Sep,2017-599583,06/22/2017 12:00:00 AM,Wed,1,0,2,0,Asian,Vandalism,Home/Residence,Anti-Other,78702,Charlie,10
May,2017-884651,12/20/2017 12:00:00 AM,Tue,1,2,2,0,Black or African American/Not Hispanic,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78702,Henry,1
Aug,2017-820961,11/20/2017 12:00:00 AM,Sun,2,3,2,1,Asian,Burglary,Other,Anti-Jewish,78702,Henry,6
Jul,2017-715571,07-01-2017 00:00,Fri,2,2,2,2,Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78701,Charlie,7
Oct,2017-523554,08/31/2017 12:00:00 AM,Wed,1,1,1,0,Black or African American/Not Hispanic,Burglary,Home/Residence,Anti-Jewish,78705,David,1
Mar,2017-791304,03/23/2017 12:00:00 AM,Wed,1,2,0,2,White/Not Hispanic,Aggravated Assault,Other,Anti-Jewish,78702,Henry,7
Sep,2017-281135,07/20/2017 12:00:00 AM,Wed,0,1,1,3,Asian,Aggravated Assault,Park/Playground,Anti-Hispanic,78701,Charlie,8
Jan,2017-257299,10-05-2017 00:00,Wed,2,1,2,1,Unknown,Burglary,Store/Shop,Anti-Other,78704,Edward,3
Apr,2017-489499,08-08-2017 00:00,Mon,1,3,0,1,Unknown,Robbery,Home/Residence,Anti-Other,78704,Edward,4
Jan,2017-226535,09-05-2017 00:00,Mon,0,2,2,2,Unknown,Destruction,Park/Playground,Anti-Black or African American,78704,David,10
Mar,2017-590023,05/23/2017 12:00:00 AM,Mon,0,0,1,0,Black or African American/Not Hispanic,Burglary,Park/Playground,Anti-White,78757,Henry,10
Feb,2017-343299,06/24/2017 12:00:00 AM,Fri,0,2,0,1,Unknown,Destruction,School/College,Anti-Black or African American,78757,Ida,8
Jun,2017-923063,05-05-2017 00:00,Thu,1,0,0,3,Hispanic,Theft,Park/Playground,Anti-Hispanic,78757,Ida,10
Nov,2017-434678,12/13/2017 12:00:00 AM,Tue,1,3,2,0,Other,Aggravated Assault,Home/Residence,Anti-Hispanic,78701,Henry,8
Aug,2017-339843,01/30/2017 12:00:00 AM,Sun,0,0,2,2,Asian,Theft,Store/Shop,Anti-Asian,78757,David,10
Feb,2017-814685,04/13/2017 12:00:00 AM,Wed,1,1,2,3,Black or African American/Not Hispanic,Theft,Other,Anti-Asian,78757,Ida,2
Nov,2017-496725,08-10-2017 00:00,Wed,1,2,2,3,White/Not Hispanic,Aggravated Assault,Other,Anti-Other,78757,Henry,7
Dec,2017-275963,09/27/2017 12:00:00 AM,Tue,1,3,1,2,White/Not Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78702,Edward,5
Jun,2017-961306,12/25/2017 12:00:00 AM,Sun,0,1,2,3,Black or African American/Not Hispanic,Vandalism,Other,Anti-Asian,78757,David,2
Dec,2017-142773,03-04-2017 00:00,Fri,0,0,2,1,Hispanic,Robbery,Home/Residence,Anti-Jewish,78757,Ida,7
Jul,2017-880512,06/15/2017 12:00:00 AM,Wed,2,3,0,1,White/Not Hispanic,Vandalism,Park/Playground,Anti-Other,78702,Edward,8
Oct,2017-558697,01/29/2017 12:00:00 AM,Sat,0,0,2,2,Black or African American/Not Hispanic,Theft,School/College,Anti-Black or African American,78704,David,1
Feb,2017-199833,01/21/2017 12:00:00 AM,Fri,0,1,1,0,White/Not Hispanic,Destruction,School/College,Anti-Asian,78705,Edward,8
Jun,2017-658209,09/17/2017 12:00:00 AM,Sat,1,2,0,0,Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-White,78757,David,4
Jul,2017-438974,02-05-2017 00:00,Sat,1,3,1,0,Black or African American/Not Hispanic,Burglary,School/College,Anti-Black or African American,78702,Charlie,6
Jun,2017-617824,07/22/2017 12:00:00 AM,Fri,1,2,0,3,Black or African American/Not Hispanic,Robbery,School/College,Anti-Asian,78757,Ida,1
Dec,2017-916672,10/31/2017 12:00:00 AM,Mon,0,2,2,2,Unknown,Robbery,Home/Residence,Anti-Hispanic,78701,Edward,4
Jan,2017-846923,07/28/2017 12:00:00 AM,Thu,2,0,1,0,White/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Black or African American,78701,Edward,9
Apr,2017-667048,12-08-2017 00:00,Thu,1,0,0,2,Asian,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-White,78757,Edward,10
Feb,2017-906083,06/26/2017 12:00:00 AM,Sun,1,3,0,0,Hispanic,Robbery,Park/Playground,Anti-Black or African American,78705,David,7
Oct,2017-161977,07-06-2017 00:00,Wed,0,3,2,2,Hispanic,Theft,Store/Shop,Anti-White,78704,Henry,10
May,2017-301038,01/24/2017 12:00:00 AM,Mon,2,1,1,1,White/Not Hispanic,Destruction,Home/Residence,Anti-Hispanic,78702,Edward,9
Oct,2017-100655,09/13/2017 12:00:00 AM,Tue,0,1,0,0,Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78705,Ida,8
Nov,2017-641053,12/25/2017 12:00:00 AM,Sun,1,1,2,2,White/Not Hispanic,Robbery,Other,Anti-Hispanic,78704,David,2
Mar,2017-913214,09-12-2017 00:00,Mon,0,0,0,2,Black or African American/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Jewish,78704,Charlie,10
Apr,2017-331901,02-09-2017 00:00,Wed,0,2,0,3,Black or African American/Not Hispanic,Burglary,Park/Playground,Anti-Hispanic,78704,Charlie,10
Jan,2017-274255,08/17/2017 12:00:00 AM,Wed,0,3,1,1,Unknown,Vandalism,Home/Residence,Anti-Other,78704,David,5
Feb,2017-800578,02/22/2017 12:00:00 AM,Tue,1,0,2,3,Unknown,Vandalism,Park/Playground,Anti-White,78701,David,3
May,2017-863039,04-04-2017 00:00,Mon,0,1,0,0,Unknown,Aggravated Assault,Home/Residence,Anti-Hispanic,78705,David,9
Dec,2017-435270,07-12-2017 00:00,Tue,0,2,0,1,Unknown,Vandalism,School/College,Anti-Black or African American,78702,Ida,3
May,2017-156426,09-01-2017 00:00,Thu,2,0,2,1,Other,Aggravated Assault,Other,Anti-Asian,78702,Edward,1
Feb,2017-578183,03-12-2017 00:00,Sat,2,3,0,2,Unknown,Destruction,Park/Playground,Anti-White,78704,Edward,7
Jun,2017-175101,01/22/2017 12:00:00 AM,Sat,1,2,1,0,Black or African American/Not Hispanic,Destruction,Store/Shop,Anti-Jewish,78757,Edward,1
Sep,2017-419298,06-05-2017 00:00,Sun,1,1,2,2,Black or African American/Not Hispanic,Vandalism,Other,Anti-White,78704,Charlie,10
Sep,2017-296637,12-06-2017 00:00,Tue,2,3,0,2,Black or African American/Not Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78702,Edward,5
Dec,2017-677078,04/17/2017 12:00:00 AM,Sun,2,2,1,2,Asian,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78705,David,10
Sep,2017-465127,07/28/2017 12:00:00 AM,Thu,1,3,2,0,Black or African American/Not Hispanic,Robbery,Park/Playground,Anti-Hispanic,78705,Henry,9
Mar,2017-917116,08-02-2017 00:00,Tue,2,3,0,1,White/Not Hispanic,Vandalism,Store/Shop,Anti-Other,78701,Charlie,7
Nov,2017-568680,02-02-2017 00:00,Wed,1,2,2,1,Other,Robbery,Home/Residence,Anti-Black or African American,78705,Henry,10
May,2017-345360,02/15/2017 12:00:00 AM,Tue,2,3,1,3,Hispanic,Vandalism,Store/Shop,Anti-White,78705,Henry,9
Jul,2017-439482,12-11-2017 00:00,Sun,2,1,1,0,Other,Vandalism,Home/Residence,Anti-Other,78757,David,7
Feb,2017-303831,06/21/2017 12:00:00 AM,Tue,1,1,1,0,Other,Robbery,Home/Residence,Anti-Hispanic,78701,Ida,10
Dec,2017-780074,03/26/2017 12:00:00 AM,Sat,0,3,2,3,Hispanic,Aggravated Assault,School/College,Anti-Hispanic,78757,Edward,10
Jun,2017-197668,05/27/2017 12:00:00 AM,Fri,2,0,1,3,Hispanic,Burglary,School/College,Anti-Asian,78705,David,7
